MANDT;LIFNR     ;LAND1;NAME1                              ;NAME2                              ;NAME3                              ;NAME4                              ;ORT01                              ;ORT02                              ;PFACH     ;PSTL2     ;PSTLZ     ;REGIO;SORTL     ;STRAS                              ;ADRNR     ;MCOD1                    ;MCOD2                    ;MCOD3                    ;ANRED          ;BAHNS                    ;BBBNR  ;BBSNR;BEGRU;BRSCH ;BUBKZ;DATLT         ;DTAMS;DTAWS;ERDAT     ;ERNAM       ;ESRNR      ;KONZS     ;KTOKK ;KUNNR       ;LNRZA       ;LOEVM;SPERR;SPERM;SPRAS;STCD1           ;STCD2      ;STKZA;STKZU;TELBX          ;TELF1           ;TELF2           ;TELFX                          ;TELTX                         ;TELX1                         ;XCPDK;XZEMP;VBUND   ;FISKN       ;STCEG               ;STKZN;SPERQ;GBORT                    ;GBDAT     ;SEXKZ;KRAUS      ;REVDB     ;QSSYS ;KTOCK ;PFORT                              ;WERKS;LTSNA;WERKR;PLKAL;DUEFL
800;1;DE   ;Forks Manufacturing GmbH           ;                                   ;                                   ;                                   ;Hamburg                            ;                                   ;          ;98999;27563;     ;CPG       ;Heinerstraße 98-100                ;6944;FORKS MANUFACTURING GMBH ;                         ;HAMBURG                  ;               ;                         ;0;0;     ;TRAD  ;0;              ;     ;     ;15.05.1995;IDES        ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;2;US   ;Electronic Components Distributor  ;                                   ;                                   ;                                   ;FOSTER CITY                        ;SAN MATEO                          ;          ;          ;94404;CA   ;ELECTRO   ;Tower Lane 1082                    ;6945;ELECTRONIC COMPONENTS DIS;                         ;FOSTER CITY              ;               ;                         ;0;0;     ;HITE  ;0;              ;     ;     ;16.05.1995;LOEHLE      ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;5;DE   ;Safety Clean Inc.                  ;                                   ;                                   ;                                   ;New York                           ;                                   ;          ;          ;73693;     ;SAFETY CLE;Desoto Road                        ;55151;SAFETY CLEAN INC.        ;                         ;NEW YORK                 ;Company        ;                         ;0;0;     ;      ;0;              ;     ;     ;22.06.2006;C5055025    ;           ;          ;1;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;410-525-0001    ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;8;MX   ;Jose Fernandez                     ;                                   ;                                   ;                                   ;Mexico City                        ;                                   ;          ;          ;11111;     ;DERPFI    ;Via Rioja 1                        ;44687;JOSE FERNANDEZ           ;                         ;MEXICO CITY              ;               ;                         ;0;0;     ;TRAD  ;0;              ;     ;     ;24.11.2003;BAUERE      ;           ;          ;1;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;X    ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;10;FR   ;Dupont de la Rivière               ;                                   ;                                   ;                                   ;Paris                              ;                                   ;          ;          ;75000;     ;DUPONT    ;rue des fleuves                    ;42761;DUPONT DE LA RIVIÈRE     ;                         ;PARIS                    ;               ;                         ;0;0;     ;      ;0;              ;     ;     ;28.04.2003;THIBAULT    ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;F    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;15;DE   ;Tiedemeier Entsorgung GmbH         ;                                   ;                                   ;                                   ;Berlin                             ;                                   ;          ;          ;11576;11;TIEDEMEIER;Westendstraße                      ;47533;TIEDEMEIER ENTSORGUNG GMB;                         ;BERLIN                   ;Firma          ;                         ;0;0;     ;      ;0;              ;     ;     ;08.09.2004;C5055025    ;           ;          ;1;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;25;DK   ;Metropol                           ;                                   ;                                   ;                                   ;Copenhagen                         ;                                   ;          ;          ;1000;     ;DERPFI    ;Kronprinsensgade 11                ;41470;METROPOL                 ;                         ;COPENHAGEN               ;               ;                         ;0;0;     ;      ;0;              ;     ;     ;24.02.2003;BAUERE      ;           ;          ;1;            ;            ;     ;     ;     ;K    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;50;DE   ;Central Logistics Inc.             ;                                   ;                                   ;                                   ;New York                           ;                                   ;          ;          ;73701;     ;CENTRAL LO;Greenhill Road                     ;55152;CENTRAL LOGISTICS INC.   ;                         ;NEW YORK                 ;Company        ;                         ;0;0;     ;      ;0;              ;     ;     ;22.06.2006;C5055025    ;           ;          ;1;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;610-430-0096    ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;75;DE   ;Meier Logistics GmbH               ;                                   ;                                   ;                                   ;Berlin                             ;                                   ;          ;          ;11588;11;MEIER L   ;Industriestrasse 19                ;47532;MEIER LOGISTICS GMBH     ;                         ;BERLIN                   ;Firma          ;                         ;0;0;     ;      ;0;              ;     ;     ;08.09.2004;C5055025    ;           ;          ;1;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;100;DE   ;C.E.B. BERLIN                      ;                                   ;                                   ;                                   ;Berlin                             ;                                   ;          ;          ;12001;11;ALLGEMEIN ;Kolping Str. 15                    ;6951;C.E.B. BERLIN            ;                         ;BERLIN                   ;Company        ;                         ;0;0;     ;MBAU  ;0;              ;     ;     ;11.08.1995;WEIS        ;           ;          ;1;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;06894/55501-0   ;                ;06894/55501-100                ;                              ;                              ;     ;     ;        ;            ;DE456145834         ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
